N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.7933045904133909,0.7147875023325182,0.7142751758187282,0.6825396825396826,0.7573111573111574,0.7036660818173422
Model2,500,2,1,0.7882323104235354,0.7208675787378552,0.702900618859584,0.5128205128205128,0.6934731934731935,0.5347985347985348
Model3,500,3,1,0.7854425564291149,0.6421959510180694,0.6914059904392658,0.5,0.25,0.3333333333333333
Model4,500,1,2,0.8346436723307127,0.7916230600450713,0.7937767332421167,0.7655172413793103,0.7018350196103633,0.7279758820129756
Model5,500,2,2,0.8483388283033223,0.8332549509589859,0.8339257567293725,0.7790927021696252,0.7765005717497259,0.75963160981258
Model6,500,3,2,0.8655845802688309,0.8483407149959739,0.8434816892192123,0.8068965517241379,0.8066510245832086,0.8032233443980925
Model7,800,1,2,0.8364189703271621,0.789654731655899,0.7984079916111009,0.7592592592592593,0.6805708802944629,0.7125895780463237
Model8,800,2,2,0.8600050722799899,0.8660573983124128,0.8607606037403164,0.8053375196232339,0.8132037653933668,0.8049081063208782
Model9,800,3,2,0.8861273142277454,0.8787098558962352,0.8750146427490733,0.8402255639097744,0.8506862045531771,0.8414096423876971
Model1,500,1,1,0.8008006793643091,0.7211881700418031,0.7233315112911505,0.5607476635514018,0.6334357399346062,0.5886829410600236
Model2,500,2,1,0.8046827611306563,0.724311744353688,0.7266037426436429,0.7339449541284404,0.7446544588138486,0.7081477267922962
Model3,500,3,1,0.7972825427635569,0.6770452130417336,0.7085855966698128,0.6363636363636364,0.4053030303030303,0.49510489510489514
Model4,500,1,2,0.8393788669173844,0.8029356738742797,0.7983828888803604,0.833976833976834,0.7853470831307776,0.8072736855379659
Model5,500,2,2,0.8570908649763436,0.8367766372381356,0.8325250727389149,0.7970011534025375,0.7769107942769001,0.7748270661749682
Model6,500,3,2,0.8643697682882445,0.8481457898191553,0.8390353916539516,0.8248175182481752,0.8035101508992342,0.8049600296202424
Model7,800,1,2,0.8477496057260706,0.8080568592155913,0.8120702869236819,0.825944170771757,0.7751951341095644,0.7991532339564839
Model8,800,2,2,0.8737110275385175,0.8714007852878324,0.8599694714897441,0.8439073514602216,0.8529116515254204,0.8406180243640833
Model9,800,3,2,0.8777144243600631,0.864755334199466,0.8665771140635157,0.8249286393910561,0.8282736949679705,0.8248773762564973
